City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Zhicheng,CN,30.2956,111.5047,57.78,72,100,3.91,overcast clouds
328,Labytnangi,RU,66.6572,66.4183,-3.44,98,20,6.4,few clouds
329,Poum,NC,-20.2333,164.0167,79.59,77,59,17.31,broken clouds
330,Ambulu,ID,-8.345,113.6058,76.41,91,100,2.66,light rain
331,Kaitangata,NZ,-46.2817,169.8464,49.78,96,53,3.29,broken clouds
332,Coventry,GB,52.4066,-1.5122,65.41,46,0,14.97,clear sky
333,Matthews,US,35.1168,-80.7237,55.54,50,0,9.22,clear sky
334,Corquin,HN,14.5667,-88.8667,66.79,66,81,6.85,broken clouds
335,Peace River,CA,56.2501,-117.286,21.65,90,100,10.36,light snow
336,Bassila,BJ,9.0081,1.6654,99.9,21,61,7.16,broken clouds
337,Torbay,CA,47.6666,-52.7314,33.76,96,100,23.02,fog
338,Beira,MZ,-19.8436,34.8389,84.29,74,40,16.11,scattered clouds
339,Mahibadhoo,MV,3.7833,72.9667,82.51,64,0,5.41,clear sky
340,Puerto Maldonado,PE,-12.6,-69.1833,66.6,94,100,5.75,moderate rain
341,Along,IN,28.1667,94.7667,65.12,80,98,2.21,overcast clouds
342,Cap Malheureux,MU,-19.9842,57.6142,82.47,79,1,5.01,clear sky
343,Konevo,RU,62.1215,39.3192,31.08,98,100,7.18,snow
344,Korla,CN,41.7597,86.1469,49.84,40,0,6.71,clear sky
